Pattern,Phrase,Base_phrase,Relations,Frequency
<Fabrication>_of_<Fabrication>,processing_temperature_of_0_°C,"(processing_temperature, 0_°C)","(1, 0)",1
<Fabrication>_by_<Fabrication>,produced_by_ball_milling,"(produced, ball_milling)","(0, 1)",1
<Fabrication>_by_<Fabrication>,produced_by_melt_spinning_process,"(produced, melt_spinning_process)","(0, 1)",1
<Fabrication>_by_<Fabrication>,produced_by_melt_spinning_technique,"(produced, melt_spinning_technique)","(0, 1)",1
<Fabrication>_by_<Fabrication>,produced_by_SPS_method,"(produced, SPS_method)","(0, 1)",3
<QNT>_of_<Value>,produced_remanence_of_0_T,"(produced_remanence, 0_T)","(0, 1)",1
<Element>_of_<Element>,rare_earth_content_of_0_at_%,"(rare_earth_content, 0_at_%)","(0, 1)",1
<Element>_(_<Element>_),rare_earth_element_(_RE_),"(rare_earth_element, RE)","(0, 1)",1
<QNT>_of_<QNT>,ratio_of_(_B_H_),"(ratio, (_B_H_))","(0, 1)",1
<QNT>_of_<QNT>,ratio_of_M,"(ratio, M)","(0, 1)",1
<Element>_(_<Element>_),RE_(_rare_earth_),"(RE, rare_earth)","(0, 1)",1
<Element>_of_<Element>,RE_content_of_0_at_%,"(RE_content, 0_at_%)","(0, 1)",1
<Shape>_(_<Shape>_),RE_rich_grain_boundary_(_GB_),"(RE_rich_grain_boundary, GB)","(0, 1)",3
<Class>_be_<Value>,recycled_magnet_be_0_%_/_K,"(recycled_magnet, 0_%_/_K)","(0, 1)",1
<Class>_with_<QNT>_of_<Value>,recycled_magnet_with_B_of_0_kG,"(recycled_magnet, B, 0_kG)","(0, 1), (1, 2)",1
<QNT>_(_<QNT>_)_of_<Value>,remanence_(_B_)_of_0_G,"(remanence, B, 0_G)","(0, 1), (1, 2)",1
<QNT>_(_<QNT>_)_of_<Value>_(_<Value>_),remanence_(_B_)_of_0_G_(_0_T_),"(remanence, B, 0_G, 0_T)","(0, 1), (1, 2), (2, 3)",1
<QNT>_(_<QNT>_)_of_<Value>,remanence_(_B_)_of_0_kG,"(remanence, B, 0_kG)","(0, 1), (1, 2)",2
<QNT>_(_<QNT>_=_<Value>_),remanence_(_B_=_0_0_T_),"(remanence, B, 0_0_T)","(0, 1), (1, 2)",1
<QNT>_(_<QNT>_=_<Value>_),remanence_(_M_=_0_emu_/_g_),"(remanence, M, 0_emu_/_g)","(0, 1), (1, 2)",1
<QNT>_(_<QNT>_),remanence_(_μ_M_),"(remanence, μ_M)","(0, 1)",1
<QNT>_and_<QNT>_be_<Value>_and_<Value>,remanence_and_(_B_H_)_be_0_T_and_0_kJ_/_m_3,"(remanence, (_B_H_), 0_T, 0_kJ_/_m_3)","(0, 2), (1, 3)",1
<QNT>_at_<Condition>,remanence_at_temperature_T,"(remanence, temperature_T)","(0, 1)",1
<QNT>_of_<Value>,remanence_B_of_0_kG,"(remanence_B, 0_kG)","(0, 1)",1
<QNT>_be_<Value>,remanence_be_0_emu_/_g,"(remanence, 0_emu_/_g)","(0, 1)",1
<QNT>_for_<Element>,remanence_for_0_wt_._%_Dy,"(remanence, 0_wt_._%_Dy)","(1, 0)",1
<QNT>_in_<Element>,remanence_in_Nd,"(remanence, Nd)","(1, 0)",1
<QNT>_=_<Value>,remanence_J_=_0_T,"(remanence_J, 0_T)","(0, 1)",1
<QNT>_of_<Value>,remanence_of_~_0_T,"(remanence, ~_0_T)","(0, 1)",1
<QNT>_of_<Value>,remanence_of_0_±_0_T,"(remanence, 0_±_0_T)","(0, 1)",1
<QNT>_of_<Value>,remanence_of_0_0_T,"(remanence, 0_0_T)","(0, 1)",1
<QNT>_of_<Value>,remanence_of_0_emu_/_g,"(remanence, 0_emu_/_g)","(0, 1)",1
<QNT>_of_<QNT>,remanence_of_B,"(remanence, B)","(0, 1)",1
<QNT>_of_<QNT>_=_<Value>,remanence_of_B_=_0_T,"(remanence, B, 0_T)","(0, 1), (1, 2)",1
<QNT>_of_<Class>,remanence_of_HD_magnet,"(remanence, HD_magnet)","(1, 0)",1
<QNT>_of_<Class>,remanence_of_isotropic_magnet,"(remanence, isotropic_magnet)","(1, 0)",1
<QNT>_of_<Shape>,remanence_of_modified_HDDR_Nd_Fe_Nb_Al_Cu_Ga_B_powder,"(remanence, modified_HDDR_Nd_Fe_Nb_Al_Cu_Ga_B_powder)","(1, 0)",1
<QNT>_of_<Class>,remanence_of_Nd_Dy_Al_diffusion_processed_hot_deformed_magnet,"(remanence, Nd_Dy_Al_diffusion_processed_hot_deformed_magnet)","(1, 0)",1
<QNT>_of_<Shape>,remanence_of_ribbon,"(remanence, ribbon)","(1, 0)",1
<QNT>_of_<Shape>,remanence_of_sample,"(remanence, sample)","(1, 0)",1
<QNT>_of_<Class>,remanence_of_these_magnet,"(remanence, these_magnet)","(1, 0)",1
<QNT>_of_<QNT>,remanence_of_μ_M,"(remanence, μ_M)","(0, 1)",2
<QNT>_of_<QNT>_=_<Value>,remanence_of_μ_M_=_0_T,"(remanence, μ_M, 0_T)","(0, 1), (1, 2)",2
<QNT>_(_<QNT>_),remanence_ratio_(_M_/_M_),"(remanence_ratio, M_/_M)","(0, 1)",1
<QNT>_(_<QNT>_)_of_<Value>,remanence_ratio_(_M_/_M_)_of_0,"(remanence_ratio, M_/_M, 0)","(0, 1), (1, 2)",1
<QNT>_of_<Value>,remanence_ratio_M_/_M_of_0,"(remanence_ratio_M_/_M, 0)","(0, 1)",1
<QNT>_of_<Value>,remanence_ratio_M_/_M_of_up_to_0,"(remanence_ratio_M_/_M, up_to_0)","(0, 1)",1
<QNT>_of_<Value>,remanence_ratio_of_0,"(remanence_ratio, 0)","(0, 1)",1
<QNT>_of_<QNT>,remanence_ratio_of_M_/_M,"(remanence_ratio, M_/_M)","(0, 1)",1
<QNT>_of_<QNT>_=_<Value>,remanence_ratio_of_M_/_M_=_0,"(remanence_ratio, M_/_M, 0)","(0, 1), (1, 2)",1
<QNT>_reduces_drastically_to_<Value>,remanence_reduces_drastically_to_0_kG,"(remanence, 0_kG)","(0, 1)",1
<QNT>_(_<QNT>_),remanence_temperature_coefficient_(_α_),"(remanence_temperature_coefficient, α)","(0, 1)",1
<QNT>_of_<Value>,remanence_value_of_0_T,"(remanence_value, 0_T)","(0, 1)",3
<QNT>_of_<Class>,remanence_value_of_Nd_Dy_Al,"(remanence_value, Nd_Dy_Al)","(1, 0)",1
<QNT>_of_<Class>,remanence_value_of_Pr_Fe_B,"(remanence_value, Pr_Fe_B)","(1, 0)",2
<QNT>_of_<Shape>,remanence_value_of_Pr_Fe_B_/_α_Fe_film,"(remanence_value, Pr_Fe_B_/_α_Fe_film)","(1, 0)",1
<QNT>_of_<Shape>,remanence_value_of_Pr_Fe_B_thick_film,"(remanence_value, Pr_Fe_B_thick_film)","(1, 0)",1
<QNT>_(_<QNT>_),remanent_magnetization_(_μ_M_),"(remanent_magnetization, μ_M)","(0, 1)",1
<QNT>_(_<QNT>_=_<Value>_),remanent_magnetization_(_μ_M_=_0_T_),"(remanent_magnetization, μ_M, 0_T)","(0, 1), (1, 2)",1
<QNT>_of_<Value>,remanent_magnetization_of_0_emu_/_g,"(remanent_magnetization, 0_emu_/_g)","(0, 1)",2
<QNT>_of_<Class>,remanent_magnetization_of_hot_deformed_magnet,"(remanent_magnetization, hot_deformed_magnet)","(1, 0)",1
<QNT>_of_<Value>,remanent_polarization_of_0_T,"(remanent_polarization, 0_T)","(0, 1)",2
<QNT>_of_<Shape>,remanent_polarization_of_sample,"(remanent_polarization, sample)","(1, 0)",1
<Shape>_with_<QNT>_of_<Value>,ribbon_with_coercivity_of_0_T,"(ribbon, coercivity, 0_T)","(0, 1), (1, 2)",2
<Shape>_with_<QNT>_of_<Value>,ribbon_with_energy_product_of_about_0_MGOe,"(ribbon, energy_product, about_0_MGOe)","(0, 1), (1, 2)",1
<QNT>_=_<Value>,room_temperature_(_BH_)_=_0_MGOe,"(room_temperature_(_BH_), 0_MGOe)","(0, 1)",1
<QNT>_be_<Value>,room_temperature_coercivity_be_about_0_T,"(room_temperature_coercivity, about_0_T)","(0, 1)",1
<QNT>_of_<Value>,room_temperature_coercivity_of_0_T,"(room_temperature_coercivity, 0_T)","(0, 1)",1
<QNT>_of_<QNT>_(_<QNT>_),room_temperature_value_of_maximum_energy_product_(_BH_),"(room_temperature_value, maximum_energy_product, BH)","(1, 0)",1
<QNT>_of_<QNT>,room_temperature_value_of_maximum_energy_product_(_BH_)_max,"(room_temperature_value, maximum_energy_product_(_BH_)_max)","(0, 1)",1
<Shape>_be_<Value>,sample_be_about_0_T,"(sample, about_0_T)","(0, 1)",1
<Shape>_be_<Value>,sample_be_approximately_0_kA_/_m,"(sample, approximately_0_kA_/_m)","(0, 1)",1
<Fabrication>_with_<Condition>,sample_cast_with_0_kOe_magnetic_field,"(sample_cast, 0_kOe_magnetic_field)","(0, 1)",1
<QNT>_(_<QNT>_),saturation_induction_density_(_B_),"(saturation_induction_density, B)","(0, 1)",1
<QNT>_(_<QNT>_)_of_<Value>,saturation_induction_density_(_B_)_of_0_G,"(saturation_induction_density, B, 0_G)","(0, 1), (1, 2)",1
<QNT>_(_<QNT>_)_of_<Value>_(_<Value>_),saturation_induction_density_(_B_)_of_0_G_(_0_T_),"(saturation_induction_density, B, 0_G, 0_T)","(0, 1), (1, 2), (2, 3)",1
<QNT>_=_<Value>,saturation_magnetic_polarization_J_=_0_T,"(saturation_magnetic_polarization_J, 0_T)","(0, 1)",1
<QNT>_(_<QNT>_),saturation_magnetization_(_4π_M_),"(saturation_magnetization, 4π_M)","(0, 1)",1
<QNT>_(_<QNT>_),saturation_magnetization_(_4πM_),"(saturation_magnetization, 4πM)","(0, 1)",1
<QNT>_(_<QNT>_=_<Value>_),saturation_magnetization_(_4πM_=_0_kG_),"(saturation_magnetization, 4πM, 0_kG)","(0, 1), (1, 2)",1
<QNT>_(_<QNT>_=_<Value>_),saturation_magnetization_(_J_=_0_T_),"(saturation_magnetization, J, 0_T)","(0, 1), (1, 2)",1
<QNT>_to_<Value>,saturation_magnetization_4πM_to_0_kG,"(saturation_magnetization_4πM, 0_kG)","(0, 1)",1
<QNT>_of_<Value>,saturation_magnetization_M_of_0_T,"(saturation_magnetization_M, 0_T)","(0, 1)",1
<QNT>_of_<Shape>,saturation_magnetization_of_0_:_0_:_0_phase,"(saturation_magnetization, 0_:_0_:_0_phase)","(1, 0)",1
<QNT>_of_<Value>,saturation_magnetization_of_0_emu_/_g,"(saturation_magnetization, 0_emu_/_g)","(0, 1)",1
<QNT>_of_<QNT>,saturation_magnetization_of_M,"(saturation_magnetization, M)","(0, 1)",1
<QNT>_of_<QNT>_=_<Value>,saturation_magnetization_of_M_=_0_T,"(saturation_magnetization, M, 0_T)","(0, 1), (1, 2)",1
<QNT>_of_<Class>,saturation_magnetization_of_Nd_Fe_B_magnet,"(saturation_magnetization, Nd_Fe_B_magnet)","(1, 0)",1
<QNT>_of_<Shape>,saturation_magnetization_of_sample,"(saturation_magnetization, sample)","(1, 0)",1
<QNT>_of_<Class>,saturation_of_magnet,"(saturation, magnet)","(1, 0)",5
<Fabrication>_for_<Fabrication>,sintered_for_0_h,"(sintered, 0_h)","(0, 1)",2
<Class>_be_<Value>,sintered_magnet_be_0_T,"(sintered_magnet, 0_T)","(0, 1)",1
<Class>_be_<Value>,sintered_magnet_be_about_0_T,"(sintered_magnet, about_0_T)","(0, 1)",2
<Fabrication>_of_<Fabrication>,sintering_temperature_of_0_°C,"(sintering_temperature, 0_°C)","(1, 0)",3
<Shape>_with_<QNT>_of_<Value>,Sm_Fe_Cu_Si_C_ribbon_with_coercivity_of_0_T,"(Sm_Fe_Cu_Si_C_ribbon, coercivity, 0_T)","(0, 1), (1, 2)",1
<Class>_with_<QNT>_of_<Value>,Sm_Fe_N_(_C_)_with_curie_temperature_of_T,"(Sm_Fe_N_(_C_), curie_temperature, T)","(0, 1), (1, 2)",1
<Shape>_with_<QNT>_of_<Value>,Sm_Fe_N_ribbon_with_room_temperature_coercivity_of_0_T,"(Sm_Fe_N_ribbon, room_temperature_coercivity, 0_T)","(0, 1), (1, 2)",1
<Shape>_be_<Value>,SmCo_Fe_ribbon_be_0_T,"(SmCo_Fe_ribbon, 0_T)","(0, 1)",1
<Shape>_(_<Shape>_),soft_magnetic_phase_(_α_Fe_),"(soft_magnetic_phase, α_Fe)","(0, 1)",1
<QNT>_(_<QNT>_),squareness_(_M_/_M_),"(squareness, M_/_M)","(0, 1)",1
<QNT>_for_<Class>,squareness_for_annealed_alloy,"(squareness, annealed_alloy)","(1, 0)",1
<QNT>_(_<Value>_),stored_magnetic_energy_(_about_0_kJ_/_m_3_),"(stored_magnetic_energy, about_0_kJ_/_m_3)","(0, 1)",1
<Shape>_with_<QNT>_of_<Value>,structure_with_coercivity_of_0_Oe,"(structure, coercivity, 0_Oe)","(0, 1), (1, 2)",1
<Element>_(_<Element>_),substitution_(_0_at_._%_),"(substitution, 0_at_._%)","(0, 1)",3
<Element>_of_<Element>,substitution_of_0_at_._%,"(substitution, 0_at_._%)","(0, 1)",1
<Element>_of_<Element>,substitution_of_0_wt_._%,"(substitution, 0_wt_._%)","(0, 1)",1
<Element>_of_<Element>,substitution_of_B,"(substitution, B)","(0, 1)",1
<Element>_of_<Element>,substitution_of_Co,"(substitution, Co)","(0, 1)",3
<Element>_of_<Element>,substitution_of_Cu,"(substitution, Cu)","(0, 1)",2
<Element>_of_<Element>,substitution_of_Fe,"(substitution, Fe)","(0, 1)",2
<Element>_of_<Element>,substitution_of_Fe_3_+_ion,"(substitution, Fe_3_+_ion)","(0, 1)",1
<Element>_of_<Element>,substitution_of_heavy_rare_earth_element,"(substitution, heavy_rare_earth_element)","(0, 1)",1
<Element>_of_<Element>,substitution_of_La,"(substitution, La)","(0, 1)",4
<Element>_of_<Element>,substitution_of_Mn,"(substitution, Mn)","(0, 1)",1
<Element>_of_<Element>,substitution_of_Mo,"(substitution, Mo)","(0, 1)",2
<Element>_of_<Element>,substitution_of_Pr,"(substitution, Pr)","(0, 1)",2
<Element>_of_<Element>,substitution_of_R,"(substitution, R)","(0, 1)",1
<Element>_of_<Element>,substitution_of_Ti,"(substitution, Ti)","(0, 1)",2
<Element>_of_<Element>,substitution_of_Y,"(substitution, Y)","(0, 1)",1
<Fabrication>_of_<Fabrication>,substrate_temperature_of_0_°C,"(substrate_temperature, 0_°C)","(1, 0)",1
<Shape>_be_<Value>,surface_be_0_kA_/_m,"(surface, 0_kA_/_m)","(0, 1)",1
<QNT>_~_<Value>,T_~_0_K,"(T, 0_K)","(0, 1)",1
<QNT>_for_<Shape>,T_for_grain_size,"(T, grain_size)","(1, 0)",2
<QNT>_in_<Class>,T_in_recycled_magnet,"(T, recycled_magnet)","(1, 0)",1
<QNT>_of_<Shape>,T_of_0_:_0_:_0_phase,"(T, 0_:_0_:_0_phase)","(1, 0)",1
<QNT>_of_<Shape>,T_of_GB_phase,"(T, GB_phase)","(1, 0)",2
<QNT>_(_<QNT>_)_of_<Value>,temperature_(_BH_)_of_0_MGOe,"(temperature, BH, 0_MGOe)","(0, 1), (1, 2)",1
<QNT>_(_<QNT>_=_<Value>_),temperature_(_T_=_0_°C_),"(temperature, T, 0_°C)","(0, 1), (1, 2)",1
<Treatment>_and_<Treatment>,temperature_and_thermal_annealing,"(temperature, thermal_annealing)","(0, 1)",1
<Treatment>_at_<Treatment>,temperature_at_0_0_°C,"(temperature, 0_0_°C)","(0, 1)",1
<QNT>_be_<Value>,temperature_be_~_0_T,"(temperature, ~_0_T)","(0, 1)",1
<QNT>_be_<Value>,temperature_be_0_kA_/_m,"(temperature, 0_kA_/_m)","(0, 1)",1
<QNT>_of_<Value>,temperature_coefficient_of_0_%_°C_-_1,"(temperature_coefficient, 0_%_°C_-_1)","(0, 1)",1
<QNT>_of_<QNT>_(_<QNT>_),temperature_coefficient_of_Br_(_α_),"(temperature_coefficient, Br, α)","(1, 0)",2
<QNT>_of_<QNT>_(_<QNT>_),temperature_coefficient_of_coercivity_(_β_),"(temperature_coefficient, coercivity, β)","(1, 0)",2
<QNT>_of_<QNT>_and_<QNT>,temperature_coefficient_of_coercivity_and_remanence,"(temperature_coefficient, coercivity, remanence)","(1, 0), (2, 0)",2
<QNT>_of_<QNT>,temperature_coefficient_of_hci,"(temperature_coefficient, hci)","(0, 1)",1
<QNT>_of_<QNT>_(_<QNT>_),temperature_coefficient_of_hci_(_β_),"(temperature_coefficient, hci, β)","(1, 0)",1
<QNT>_of_<QNT>,temperature_coefficient_of_intrinsic_coercivity,"(temperature_coefficient, intrinsic_coercivity)","(0, 1)",1
<QNT>_of_<Class>,temperature_coefficient_of_magnet,"(temperature_coefficient, magnet)","(1, 0)",1
<QNT>_of_<Value>,temperature_coefficient_β_of_0_%_K_-_1,"(temperature_coefficient_β, 0_%_K_-_1)","(0, 1)",1
<QNT>_of_<QNT>,temperature_dependence_of_anisotropy_field,"(temperature_dependence, anisotropy_field)","(0, 1)",1
<QNT>_of_<QNT>,temperature_dependence_of_D,"(temperature_dependence, D)","(0, 1)",1
<QNT>_of_<QNT>,temperature_dependence_of_Fe_magnetic_moment,"(temperature_dependence, Fe_magnetic_moment)","(0, 1)",1
<QNT>_of_<QNT>,temperature_dependence_of_H,"(temperature_dependence, H)","(0, 1)",1
<QNT>_of_<Class>,temperature_dependence_of_magnet,"(temperature_dependence, magnet)","(1, 0)",2
<QNT>_of_<QNT>,temperature_dependence_of_magnetization,"(temperature_dependence, magnetization)","(0, 1)",1
<QNT>_of_<QNT>,temperature_dependence_of_magnetocrystalline_anisotropy_field,"(temperature_dependence, magnetocrystalline_anisotropy_field)","(0, 1)",1
<QNT>_of_<QNT>,temperature_dependence_of_remanence,"(temperature_dependence, remanence)","(0, 1)",1
<QNT>_of_<QNT>_and_<QNT>,temperature_dependence_of_remanence_and_coercivity,"(temperature_dependence, remanence, coercivity)","(1, 0), (2, 0)",1
<QNT>_of_<QNT>,temperature_dependence_of_remnant_magnetization,"(temperature_dependence, remnant_magnetization)","(0, 1)",1
<QNT>_of_<QNT>,temperature_dependence_of_μ_H,"(temperature_dependence, μ_H)","(0, 1)",1
<QNT>_of_<Value>,temperature_of_~_0_K,"(temperature, ~_0_K)","(0, 1)",1
<QNT>_of_<Class>,temperature_of_nanocomposite,"(temperature, nanocomposite)","(1, 0)",1
<QNT>_of_<Shape>,temperature_of_nanocomposite_film,"(temperature, nanocomposite_film)","(1, 0)",1
<QNT>_of_<Shape>,temperature_of_Nd_Pr_Fe_B_melt_spun_powder,"(temperature, Nd_Pr_Fe_B_melt_spun_powder)","(1, 0)",1
<QNT>_of_<Shape>,temperature_of_ribbon,"(temperature, ribbon)","(1, 0)",1
<Fabrication>_of_<Fabrication>,temperature_of_TbF_EPD_coated_sintered_Nd_Fe_B_magnet,"(temperature, TbF_EPD_coated_sintered_Nd_Fe_B_magnet)","(1, 0)",1
<Condition>_of_<Condition>,temperature_range_of_0_0_°C,"(temperature_range, 0_0_°C)","(0, 1)",1
<QNT>_up_to_<Value>,temperature_up_to_0_°C,"(temperature, 0_°C)","(0, 1)",2
<QNT>_up_to_<Value>,temperature_up_to_about_0_°C,"(temperature, about_0_°C)","(0, 1)",1
<QNT>_(_<Value>_),that_(_0_MGOe_),"(that, 0_MGOe)","(0, 1)",1
<QNT>_~_<Value>,that_~_0_kA_m_-_1,"(that, 0_kA_m_-_1)","(0, 1)",1
<QNT>_for_<Class>,that_for_MRE_Fe_B_Zr_alloy,"(that, MRE_Fe_B_Zr_alloy)","(1, 0)",1
<QNT>_for_<Class>,that_for_Nd_Fe_Al_system,"(that, Nd_Fe_Al_system)","(1, 0)",1
<QNT>_for_<Class>,that_for_Nd_Fe_B_/_FeCo,"(that, Nd_Fe_B_/_FeCo)","(1, 0)",1
<QNT>_for_<Class>,that_for_Sm_Co,"(that, Sm_Co)","(1, 0)",1
<QNT>_of_<Value>,that_of_0_kA_/_m,"(that, 0_kA_/_m)","(0, 1)",1
<QNT>_of_<Value>,that_of_0_kOe,"(that, 0_kOe)","(0, 1)",1
<QNT>_of_<Value>,that_of_0_m_/_s,"(that, 0_m_/_s)","(0, 1)",1
<QNT>_of_<Value>,that_of_0_T,"(that, 0_T)","(0, 1)",1
<QNT>_of_<Shape>,that_of_0_wt_%_Dy_containing_{_[_Nd_(_Y_Dy_)_]_Co_Fe_B_}_+_Ti_C_ribbon,"(that, 0_wt_%_Dy_containing_{_[_Nd_(_Y_Dy_)_]_Co_Fe_B_}_+_Ti_C_ribbon)","(1, 0)",1
<QNT>_of_<Class>,that_of_0_wt_%_Dy_doped_Nd_Fe_B_sintered_magnet,"(that, 0_wt_%_Dy_doped_Nd_Fe_B_sintered_magnet)","(1, 0)",1
<QNT>_of_<Class>,that_of_as_hot_deformed_magnet,"(that, as_hot_deformed_magnet)","(1, 0)",1
<QNT>_of_<Shape>,that_of_as_spun_ribbon,"(that, as_spun_ribbon)","(1, 0)",1
<QNT>_of_<Class>,that_of_Ce_Fe_B,"(that, Ce_Fe_B)","(1, 0)",1
<QNT>_of_<Class>,that_of_directly_annealed_partially_amorphous_(_Nd_Pr_)_Fe_Co_Nb_B,"(that, directly_annealed_partially_amorphous_(_Nd_Pr_)_Fe_Co_Nb_B)","(1, 0)",1
<QNT>_of_<Shape>,that_of_Fe_B_/_Nd_Fe_B_film,"(that, Fe_B_/_Nd_Fe_B_film)","(1, 0)",1
<QNT>_of_<Shape>,that_of_Fe_B_/_Nd_Fe_B_one,"(that, Fe_B_/_Nd_Fe_B_one)","(1, 0)",4
<QNT>_of_<Class>,that_of_ferrite_magnet,"(that, ferrite_magnet)","(1, 0)",1
<QNT>_of_<Shape>,that_of_hard_magnetic_phase,"(that, hard_magnetic_phase)","(1, 0)",1
<QNT>_of_<Shape>,that_of_HDDR_powder,"(that, HDDR_powder)","(1, 0)",1
<QNT>_of_<Class>,that_of_hot_deformed_magnet,"(that, hot_deformed_magnet)","(1, 0)",2
<QNT>_of_<Class>,that_of_Nd_Cu_diffusion_processed_magnet,"(that, Nd_Cu_diffusion_processed_magnet)","(1, 0)",1
<QNT>_of_<Shape>,that_of_Nd_Cu_diffusion_processed_sample,"(that, Nd_Cu_diffusion_processed_sample)","(1, 0)",2
<QNT>_of_<Class>,that_of_Nd_Dy_Fe_Co_B,"(that, Nd_Dy_Fe_Co_B)","(1, 0)",2
<QNT>_of_<Shape>,that_of_Nd_Dy_Fe_Co_B_single_layer,"(that, Nd_Dy_Fe_Co_B_single_layer)","(1, 0)",2
<QNT>_of_<Class>,that_of_Nd_Fe_B_/_α_Fe,"(that, Nd_Fe_B_/_α_Fe)","(1, 0)",1
<QNT>_of_<Class>,that_of_Nd_Fe_B_alloy,"(that, Nd_Fe_B_alloy)","(1, 0)",1
<QNT>_of_<Shape>,that_of_Nd_Fe_B_ribbon,"(that, Nd_Fe_B_ribbon)","(1, 0)",2
<QNT>_of_<Class>,that_of_Nd_Fe_B_sintered_magnet,"(that, Nd_Fe_B_sintered_magnet)","(1, 0)",2
<QNT>_of_<Shape>,that_of_Nd_rich_phase,"(that, Nd_rich_phase)","(1, 0)",1
<QNT>_of_<Shape>,that_of_Pr_Co_C_phase,"(that, Pr_Co_C_phase)","(1, 0)",1
<QNT>_of_<Class>,that_of_Pr_Fe_B,"(that, Pr_Fe_B)","(1, 0)",1
<QNT>_of_<Class>,that_of_Pr_Fe_B_Mn,"(that, Pr_Fe_B_Mn)","(1, 0)",1
<QNT>_of_<Class>,that_of_RE_Fe_B_system,"(that, RE_Fe_B_system)","(1, 0)",1
<QNT>_of_<Shape>,that_of_single_layer_film,"(that, single_layer_film)","(1, 0)",1
<QNT>_of_<Shape>,that_of_single_phase,"(that, single_phase)","(1, 0)",1
<QNT>_of_<Class>,that_of_sintered_magnet,"(that, sintered_magnet)","(1, 0)",2
<QNT>_of_<Class>,that_of_Sm_Fe,"(that, Sm_Fe)","(1, 0)",1
<QNT>_of_<Class>,that_of_SmCo,"(that, SmCo)","(1, 0)",2
<QNT>_of_<QNT>,theoretically_calculated_value_of_energy_product,"(theoretically_calculated_value, energy_product)","(0, 1)",1
<Shape>_(_<Shape>_),thin_film_(_~_0_nm_),"(thin_film, ~_0_nm)","(0, 1)",1
<Shape>_be_<Value>,this_sample_be_0_T,"(this_sample, 0_T)","(0, 1)",1
<Element>_(_<Element>_),Ti_substitution_(_y_=_0_),"(Ti_substitution, y_=_0)","(0, 1)",1
<QNT>_at_<Condition>,uniaxial_anisotropy_at_room_temperature,"(uniaxial_anisotropy, room_temperature)","(0, 1)",1
<Shape>_be_<Value>,unit_cell_be_0_μ,"(unit_cell, 0_μ)","(0, 1)",1
<Value>_for_<Element>,up_to_0_kA_/_m_for_x_=_0,"(up_to_0_kA_/_m, x_=_0)","(1, 0)",1
<QNT>_(_<Value>_),value_(_~_0_MGOe_),"(value, ~_0_MGOe)","(0, 1)",1
<QNT>_(_<Value>_),value_(_~_0_T_),"(value, ~_0_T)","(0, 1)",1
<QNT>_for_<Class>,value_for_Dy_free_Nd_Fe_B_sintered_magnet,"(value, Dy_free_Nd_Fe_B_sintered_magnet)","(1, 0)",1
<QNT>_for_<Class>,value_for_MnBi_magnet,"(value, MnBi_magnet)","(1, 0)",1
<QNT>_for_<Class>,value_for_Nd_based_magnet,"(value, Nd_based_magnet)","(1, 0)",1
<QNT>_for_<Class>,value_for_pure_Ce_Fe_B,"(value, pure_Ce_Fe_B)","(1, 0)",1
<QNT>_for_<Element>,value_for_x_=_0,"(value, x_=_0)","(1, 0)",1
<QNT>_of_<QNT>_=_<Value>,value_of_(_B_H_)_=_0_MGOe,"(value, (_B_H_), 0_MGOe)","(0, 1), (1, 2)",1
<QNT>_of_<QNT>,value_of_(_BH_),"(value, (_BH_))","(0, 1)",2
<QNT>_of_<QNT>,value_of_(_BH_)_max,"(value, (_BH_)_max)","(0, 1)",3
<QNT>_of_<Value>,value_of_~_0_%_°C_-_1,"(value, ~_0_%_°C_-_1)","(0, 1)",1
<QNT>_of_<Value>,value_of_0_kA_m_-_1,"(value, 0_kA_m_-_1)","(0, 1)",2
<QNT>_of_<Value>,value_of_0_kJ_/_m,"(value, 0_kJ_/_m)","(0, 1)",1
<QNT>_of_<Value>,value_of_0_kJ_/_m_3,"(value, 0_kJ_/_m_3)","(0, 1)",1
<QNT>_of_<Value>,value_of_0_kJ_m_-_3,"(value, 0_kJ_m_-_3)","(0, 1)",1
<QNT>_of_<QNT>_=_<Value>,value_of_4π_M_=_0_kG,"(value, 4π_M, 0_kG)","(0, 1), (1, 2)",1
<QNT>_of_<QNT>_and_<QNT>,value_of_coercivity_and_remanence,"(value, coercivity, remanence)","(1, 0), (2, 0)",2
<QNT>_of_<QNT>_=_<Value>,value_of_H_=_0_kOe,"(value, H, 0_kOe)","(0, 1), (1, 2)",1
<QNT>_of_<QNT>_and_<QNT>,value_of_hci_and_(_BH_)_max,"(value, hci, (_BH_)_max)","(1, 0), (2, 0)",3
<QNT>_of_<QNT>,value_of_intrinsic_coercivity,"(value, intrinsic_coercivity)","(0, 1)",1
<QNT>_of_<QNT>,value_of_J,"(value, J)","(0, 1)",1
<QNT>_of_<QNT>,value_of_M,"(value, M)","(0, 1)",1
<QNT>_of_<Class>,value_of_magnet,"(value, magnet)","(1, 0)",1
<QNT>_of_<QNT>,value_of_magnetic_energy_product,"(value, magnetic_energy_product)","(0, 1)",1
<QNT>_of_<QNT>_(_<QNT>_),value_of_magnetic_energy_product_(_BH_),"(value, magnetic_energy_product, BH)","(1, 0)",1
<QNT>_of_<Shape>,value_of_melt_spun_ribbon,"(value, melt_spun_ribbon)","(1, 0)",1
<QNT>_of_<Class>,value_of_Nd_Fe_B,"(value, Nd_Fe_B)","(1, 0)",1
